Date,Amount
6/14/2023 10:20,$132.00 
6/15/2023 10:49,"$2,692.80 "
6/23/2023 16:25,"$1,056.00 "
6/26/2023 13:56,$145.00 
6/29/2023 14:59,"$2,868.00 "
7/3/2023 14:57,$440.00 
7/6/2023 14:56,$145.00 
7/17/2023 8:01,"$3,075.00 "
7/17/2023 16:02,$145.00 
7/21/2023 15:08,"$7,205.08 "
7/26/2023 17:01,$145.00 
8/2/2023 10:15,$145.00 
8/7/2023 15:41,"$1,988.20 "
8/9/2023 9:29,"$1,584.00 "
8/12/2023 22:06,$832.24 
8/21/2023 14:33,$352.00 
8/23/2023 17:33,$145.00 
8/27/2023 0:08,$352.00 
8/28/2023 16:20,$264.00 
8/29/2023 16:38,"$1,935.00 "
8/31/2023 16:08,$95.00 
9/5/2023 14:41,$240.00 
9/8/2023 16:04,"$5,845.70 "
9/8/2023 16:05,"$5,845.70 "
9/21/2023 13:44,$443.00 
9/22/2023 23:27,$145.00 
9/25/2023 15:59,$528.00 
9/26/2023 15:54,$792.00 
9/28/2023 14:34,"$8,970.00 "
9/29/2023 22:19,$70.00 
9/29/2023 22:28,"$7,000.00 "
9/29/2023 22:33,"$4,220.00 "
10/2/2023 8:31,$280.00 
10/5/2023 9:31,$145.00 
10/5/2023 19:05,$70.00 
10/9/2023 20:13,$696.80 
10/11/2023 20:32,$591.00 
10/11/2023 21:45,"$4,399.45 "
10/12/2023 20:21,$70.00 
10/13/2023 16:06,$70.00 
10/17/2023 17:15,"$3,975.84 "
10/19/2023 11:07,$95.00 
10/21/2023 10:30,$70.00 
10/24/2023 10:32,$396.00 
10/26/2023 19:43,"$2,487.75 "
10/27/2023 9:41,"$1,907.40 "
10/30/2023 19:52,"$8,475.40 "
11/3/2023 14:24,$145.00 
11/5/2023 18:12,"$2,362.00 "
11/6/2023 16:29,$396.00 
11/6/2023 17:56,($145.25)
11/6/2023 17:57,"($1,296.75)"
11/7/2023 14:25,"$3,799.50 "
11/7/2023 15:54,$396.00 
11/11/2023 21:27,"$3,011.85 "
11/13/2023 10:20,"$1,741.00 "
11/25/2023 12:03,$481.00 
11/25/2023 15:45,$145.00 
11/27/2023 14:30,"$5,899.50 "
11/27/2023 18:24,$297.00 
11/28/2023 8:15,"$5,865.00 "
12/1/2023 16:13,$679.00 
12/2/2023 10:47,"$1,656.00 "
12/5/2023 11:29,$519.77 
12/5/2023 11:31,"$7,619.80 "
12/6/2023 11:23,"$4,750.00 "
12/6/2023 17:05,$198.00 
12/11/2023 10:37,$100.00 
12/11/2023 16:46,$200.00 
12/11/2023 19:32,$70.00 
12/11/2023 22:42,$30.00 
12/11/2023 22:49,$100.00 
12/13/2023 18:08,$99.00 
12/27/2023 17:56,$297.00 
12/28/2023 9:42,$594.00 
1/4/2024 14:48,$145.00 
1/4/2024 17:13,"$2,263.00 "
1/10/2024 11:02,$297.00 
1/10/2024 18:40,$445.50 
1/14/2024 18:09,$198.00 
1/15/2024 21:47,$297.00 
1/16/2024 17:59,"$5,902.26 "
1/21/2024 13:30,$20.00 
1/21/2024 13:31,$20.00 
1/21/2024 13:34,$20.00 
1/28/2024 13:33,$20.00 
1/29/2024 14:19,$297.00 
2/3/2024 10:37,$145.00 
2/5/2024 18:43,$396.00 
2/6/2024 18:18,$396.00 
2/8/2024 19:16,$195.00 
2/8/2024 20:53,"$1,966.50 "
2/9/2024 12:31,$145.00 
2/9/2024 21:26,$195.00 
2/12/2024 19:52,"$1,386.00 "
2/17/2024 12:01,"$1,525.00 "
2/21/2024 17:03,"$1,638.75 "
2/22/2024 21:08,$99.00 
2/27/2024 16:24,$583.00 
2/29/2024 11:55,"$8,073.00 "
2/29/2024 14:07,$396.00 
3/4/2024 15:14,$297.00 
3/4/2024 22:21,"$2,856.00 "
3/5/2024 16:56,"$3,799.50 "
3/7/2024 16:37,$70.00 
3/13/2024 18:41,$145.00 
3/16/2024 10:21,$195.00 
3/16/2024 11:05,$70.00 
3/16/2024 11:19,$70.00 
3/16/2024 14:03,"$6,640.00 "
3/19/2024 16:23,"$6,583.00 "
3/19/2024 16:44,$396.00 
3/27/2024 16:27,$198.00 
4/3/2024 17:01,$145.00 
4/3/2024 23:04,$495.00 
4/9/2024 17:11,$297.00 
4/9/2024 18:40,$396.00 
4/12/2024 14:19,$855.00 
4/12/2024 14:21,$285.00 
4/16/2024 16:19,"$2,992.25 "
4/19/2024 11:42,$990.00 
4/20/2024 14:26,$990.00 
4/22/2024 15:47,$145.00 
4/27/2024 11:52,$390.00 
4/29/2024 17:43,$195.00 
5/7/2024 20:20,$495.00 
5/8/2024 19:13,$145.00 
5/11/2024 15:54,$99.00 
5/11/2024 23:12,$986.04 
5/14/2024 20:52,($198.00)
5/16/2024 21:07,$297.00 
5/18/2024 13:16,$145.00 
5/23/2024 12:23,$100.00 
5/28/2024 11:05,$100.00 
5/29/2024 8:44,$100.00 
6/1/2024 5:31,$997.40 
6/2/2024 9:54,$195.00 
6/2/2024 15:33,"$1,437.48 "
6/5/2024 16:58,"$2,758.00 "
6/10/2024 19:43,$290.00 
6/12/2024 6:27,$533.60 
6/14/2024 11:26,$195.00 
6/14/2024 16:19,"$1,844.50 "
6/14/2024 16:20,"$1,844.50 "
6/16/2024 10:16,$742.50 
6/17/2024 10:32,$195.00 
6/17/2024 20:36,$145.00 
6/17/2024 20:39,$145.00 
6/18/2024 20:49,"$2,431.00 "
6/19/2024 16:52,"$7,847.50 "
6/23/2024 22:46,$400.00 
6/24/2024 9:37,"$5,010.50 "
6/24/2024 22:00,$600.00 
6/28/2024 10:48,$195.00 
6/30/2024 16:55,"$2,554.55 "
